,Time,NEW,SAME,EXCLUDED
0,03_37 - 05_16,22,254,9
1,05_16 - 22_37,17,213,63
2,22_37 - 16_40,15,168,62
3,16_40 - 12_32,15,139,44
4,12_32 - 11_37,16,144,10
5,11_37 - 19_13,73,123,37
6,19_13 - 15_37,11,164,32
7,15_37 - 06_38,134,145,30
8,06_38 - 05_37,4,273,6
9,05_37 - 18_21,21,169,108
10,18_21 - 13_38,17,139,51
11,13_38 - 02_46,132,132,24
12,02_46 - 04_37,18,252,12
13,04_37 - 16_22,26,156,114
14,16_22 - 10_59,34,125,57
15,10_59 - 17_15,64,121,38
16,17_15 - 19_38,21,176,9
17,19_38 - 01_24,65,186,11
18,01_24 - 06_22,47,233,18
19,06_22 - 20_17,22,178,102
20,20_17 - 23_19,44,193,7
21,23_19 - 14_15,18,143,94
22,14_15 - 11_13,29,133,28
23,11_13 - 23_37,119,118,44
24,23_37 - 15_17,17,155,82
25,15_17 - 22_16,73,157,15
26,22_16 - 20_37,4,201,29
27,20_37 - 03_18,72,191,14
28,03_18 - 04_20,13,256,7
29,04_20 - 02_21,11,249,20
30,02_21 - 14_38,21,145,115
31,14_38 - 18_38,39,153,13
32,18_38 - 21_14,27,186,6
33,21_14 - 11_14,42,120,93
34,11_14 - 17_37,61,124,38
35,17_37 - 21_38,39,177,8
