Time,Count
12_37,348
12_38,348
12_39,348
13_21,353
13_38,364
14_15,366
14_38,367
15_19,380
15_38,390
16_22,394
16_40,397
17_15,403
17_37,404
18_21,411
18_38,414
19_14,422
19_37,425
20_18,432
20_38,435
21_14,443
21_38,447
22_15,452
22_37,451
23_16,457
23_38,459
01_25,468
02_20,473
02_44,469
03_18,474
03_37,476
04_20,485
04_38,488
05_16,495
05_37,494
06_21,498
06_37,498
07_17,509
07_37,514
08_21,518
08_38,517
09_16,530
09_38,535
10_18,546
10_37,550
11_14,552
11_37,557
12_33,562
13_20,579
13_38,582
14_15,587
14_37,588
15_17,584
15_37,586
16_22,596
16_40,599
17_14,596
17_37,600
18_20,598
18_38,598
19_13,605
19_38,605
20_18,607
20_37,608
21_15,606
21_38,612
22_16,609
22_37,611
23_37,614
01_22,616
02_19,616
02_44,616
03_17,616
03_37,616
04_20,624
04_38,621
05_16,630
05_37,638
06_21,635
06_38,635
07_08,638
07_16,638
07_38,637
08_21,635
08_38,637
09_16,638
09_38,637
10_18,636
10_37,637
11_14,634
11_37,631
12_33,630
13_22,634
13_37,637
14_16,635
14_37,631
15_18,631
15_38,636
16_32,634
17_15,637
17_38,643
18_21,648
18_38,649
19_13,649
19_37,649
20_18,651
20_38,651
21_14,646
21_38,648
22_16,644
22_38,645
23_18,644
23_38,645
01_18,656
02_16,661
02_43,665
03_17,663
03_38,660
04_20,659
04_38,662
05_16,661
05_38,662
06_22,668
06_38,668
07_15,667
07_37,671
08_20,668
08_37,669
09_16,669
09_38,666
10_18,653
10_38,653
11_14,660
11_38,658
12_32,653
13_20,653
13_37,652
14_15,656
14_37,656
15_17,658
15_38,663
16_22,657
16_40,658
17_15,653
17_37,652
18_20,654
18_37,650
19_13,648
19_37,649
20_17,644
20_38,642
21_14,642
21_38,639
22_15,635
22_37,632
23_17,631
23_38,627
01_19,631
02_12,628
02_41,629
03_17,627
03_37,626
04_20,618
04_37,618
05_15,609
05_38,606
06_20,599
06_37,599
07_15,594
07_38,592
08_19,583
08_37,575
09_15,561
09_37,555
10_17,543
10_37,540
11_13,527
11_37,523
12_30,518
13_18,509
13_37,504
14_14,497
14_38,493
15_15,480
15_38,473
16_20,457
